('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802467 function calls (780315 primitive calls) in 1.561 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
111796/111788    0.010    0.000    0.012    0.000 {built-in method builtins.isinstance}
    71515    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
56092/51353    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    25501    0.018    0.000    0.018    0.000 {method 'match' of 're.Pattern' objects}
    23168    0.006    0.000    0.008    0.000 sre_parse.py:165(__getitem__)
    22028    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
    20343    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    20150    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
    15188    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    14820    0.004    0.000    0.008    0.000 sre_parse.py:255(get)
    14711    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    14406    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    12877    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    11344    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
    11005    0.005    0.000    0.007    0.000 _markupbase.py:44(updatepos)
    10438    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
    10215    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     9491    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
     8285    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     8175    0.007    0.000    0.007    0.000 element.py:156(setup)
     8104    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7228    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     7228    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     7123    0.001    0.000    0.001    0.000 element.py:2062(descendants)
7057/2508    0.010    0.000    0.018    0.000 element.py:2336(_matches)
     7039    0.001    0.000    0.006    0.000 {built-in method builtins.next}
6798/6730    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6642    0.004    0.000    0.031    0.000 element.py:2303(search)
     6424    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6129    0.001    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
     6126    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
     5787    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
     5762    0.006    0.000    0.027    0.000 __init__.py:586(endData)
     5638    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5499    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4645    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
     4114    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
 3976/367    0.005    0.000    0.008    0.000 sre_parse.py:175(getwidth)
 3970/188    0.013    0.000    0.030    0.000 sre_compile.py:87(_compile)
     3813    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3330    0.005    0.000    0.025    0.000 element.py:2240(search_tag)
 3214/197    0.022    0.000    0.063    0.000 sre_parse.py:494(_parse)
     3102    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x5bf2a05339a0}
     3021    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2815    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2759    0.003    0.000    0.027    0.000 _htmlparser.py:160(handle_endtag)
     2759    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     2759    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2759    0.008    0.000    0.023    0.000 element.py:1199(__init__)
     2759    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
     2758    0.006    0.000    0.056    0.000 _htmlparser.py:105(handle_starttag)
     2758    0.020    0.000    0.105    0.000 parser.py:300(parse_starttag)
     2758    0.002    0.000    0.009    0.000 parser.py:351(check_for_whole_start_tag)
     2758    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     2758    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     2758    0.003    0.000    0.004    0.000 __init__.py:558(popTag)
     2758    0.006    0.000    0.047    0.000 __init__.py:722(handle_starttag)
     2757    0.005    0.000    0.009    0.000 __init__.py:688(_popToTag)
     2757    0.002    0.000    0.024    0.000 __init__.py:763(handle_endtag)
     2749    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2728    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2708    0.002    0.000    0.006    0.000 element.py:943(__new__)
     2708    0.002    0.000    0.002    0.000 __init__.py:523(string_container)
     2708    0.005    0.000    0.012    0.000 __init__.py:620(object_was_parsed)
     2644    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2641    0.007    0.000    0.011    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     2610    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     2610    0.005    0.000    0.035    0.000 parser.py:385(parse_endtag)
     2605    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
     2302    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2187    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2123    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2123    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1944    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     1844    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
     1825    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1437    0.004    0.000    0.004    0.000 __init__.py:648(_linkage_fixer)
     1360    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     1357    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1341    0.000    0.000    0.001    0.000 element.py:1543(get)
 1206/189    0.004    0.000    0.063    0.000 sre_parse.py:436(_parse_sub)
     1057    0.002    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
     1030    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1030    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1002    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      926    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      922    0.000    0.000    0.000    0.000 socket.py:730(readable)
      920    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      920    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      920    0.001    0.000    0.900    0.001 ssl.py:1150(read)
      920    0.001    0.000    0.902    0.001 ssl.py:1292(recv_into)
      920    0.001    0.000    0.904    0.001 socket.py:691(readinto)
      920    0.899    0.001    0.899    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      895    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      895    0.007    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
      880    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      880    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      807    0.017    0.000    0.017    0.000 {built-in method posix.stat}
      806    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      802    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      732    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      731    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      723    0.002    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      608    0.000    0.000    0.004    0.000 enum.py:359(__call__)
      598    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
  551/533    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  525/523    0.005    0.000    0.076    0.000 {built-in method builtins.__build_class__}
      503    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      497    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      490    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      482    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      471    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      468    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      421    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      419    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      416    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      416    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      397    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      389    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      384    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      376    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      329    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      329    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      321    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      313    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
