('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802477 function calls (780325 primitive calls) in 1.577 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      921    1.063    0.001    1.063    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.027    0.027    0.027    0.027 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.023    0.023    0.023    0.023 {method 'connect' of '_socket.socket' objects}
 3214/197    0.022    0.000    0.062    0.000 sre_parse.py:494(_parse)
     2758    0.020    0.000    0.101    0.000 parser.py:300(parse_starttag)
    25501    0.018    0.000    0.018    0.000 {method 'match' of 're.Pattern' objects}
        2    0.015    0.007    0.168    0.084 parser.py:133(goahead)
 3970/188    0.013    0.000    0.030    0.000 sre_compile.py:87(_compile)
      156    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
111796/111788    0.010    0.000    0.013    0.000 {built-in method builtins.isinstance}
7057/2508    0.009    0.000    0.017    0.000 element.py:2336(_matches)
     2759    0.008    0.000    0.022    0.000 element.py:1199(__init__)
    22028    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
     8175    0.007    0.000    0.007    0.000 element.py:156(setup)
      895    0.007    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
     2641    0.006    0.000    0.010    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     5762    0.006    0.000    0.025    0.000 __init__.py:586(endData)
     2758    0.006    0.000    0.045    0.000 __init__.py:722(handle_starttag)
     2758    0.006    0.000    0.054    0.000 _htmlparser.py:105(handle_starttag)
    71515    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    23168    0.006    0.000    0.008    0.000 sre_parse.py:165(__getitem__)
     2610    0.005    0.000    0.034    0.000 parser.py:385(parse_endtag)
56093/51354    0.005    0.000    0.006    0.000 {built-in method builtins.len}
  525/523    0.005    0.000    0.076    0.000 {built-in method builtins.__build_class__}
 3976/367    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
      807    0.005    0.000    0.005    0.000 {built-in method posix.stat}
    11005    0.005    0.000    0.007    0.000 _markupbase.py:44(updatepos)
     2708    0.004    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
     3102    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x6355875ea9a0}
     3330    0.004    0.000    0.024    0.000 element.py:2240(search_tag)
     6642    0.004    0.000    0.031    0.000 element.py:2303(search)
     2757    0.004    0.000    0.008    0.000 __init__.py:688(_popToTag)
     2759    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
 1206/189    0.004    0.000    0.063    0.000 sre_parse.py:436(_parse_sub)
     8285    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
        1    0.004    0.004    0.027    0.027 dammit.py:70(_populate_class_variables)
    14406    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    14820    0.004    0.000    0.008    0.000 sre_parse.py:255(get)
     1437    0.003    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
      9/7    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
     2758    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
     2759    0.003    0.000    0.026    0.000 _htmlparser.py:160(handle_endtag)
       97    0.003    0.000    0.037    0.000 element.py:792(_find_all)
      156    0.003    0.000    0.003    0.000 {built-in method io.open_code}
    20150    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        1    0.003    0.003    0.003    0.003 dammit.py:677(_to_unicode)
      158    0.003    0.000    0.300    0.002 {method 'read' of '_io.BufferedReader' objects}
     8104    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    10438    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
      397    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
